,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
62,Eonju Station,0주,기념일케이크,캐릭터케이크,짤케이크,케이크,끌레르봉봉,clairbonbon,마카롱,마카롱케이크,마카롱포장,주문케이크,언주역맛집,강남맛집,언주디저트,커스텀케이크,논현동디저트,강남,강남마카롱,강남디저트,강남케이크,강남레터링,선물,레터링케이크,주문제작케이크,,,,,,,,,
63,Eonju Station,0주,기념일케이크,캐릭터케이크,샤넬케이크,명품케이크,끌레르봉봉,clairbonbon,마카롱,마카롱케이크,마카롱포장,주문케이크,언주역맛집,강남맛집,언주디저트,커스텀케이크,논현동디저트,강남,강남마카롱,강남디저트,강남케이크,강남레터링,선물,레터링케이크,주문제작케이크,,,,,,,,,
64,Eonju Station,0주,브런치맛집,브런치카페,먹스타그램,맛스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Eonju Station,0주,흑도새기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Eonju Station,0주,월요일,힐링,리마인드,카페퓨,마카롱,라즈베리마카롱,블랙위키드마카롱,커피브라우니마카롱,딸기우유마카롱,스윗사파이어,마녀포도가,헤브어나이스데이,have,cafepur,,,,,,,,,,,,,,,,,,
67,Eonju Station,0주,월요일,힐링,리마인드,에브리카롱,마카롱,라즈베리마카롱,블랙위키드마카롱,커피브라우니마카롱,딸기우유마카롱,스윗사파이어,마녀포도가,헤브어나이스데이,have,everycaron,,,,,,,,,,,,,,,,,,
68,Eonju Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Eonju Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Eonju Station,0주,홍익궁중전통육개장,언주역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Eonju Station,0주,언주집,언주집본점,삼겹살맛집,냉동삼겹살맛집,냉삼맛집,삼겹살,냉삼,언주역맛집,역삼동맛집,껍데기맛집,강남맛집,회오리껍데기,볶음밥,계란후라이,섞어찌개,,,,,,,,,,,,,,,,,
72,Eonju Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Eonju Station,0주,김돈이언주점,언주역맛집,논현동맛집,차병원맛집,사장님맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Eonju Station,0주,제주탐하리,언주역맛집,돼지고기,제주도돼지고기,강남맛집,선릉맛집,역삼맛집,,,,,,,,,,,,,,,,,,,,,,,,,
75,Eonju Station,0주,언주옥,곰탕,11000원,토렴,개인적,수하동,원탑,하동관,본점,최애,24시간,언주,언주역맛집,강남,강남맛집,고기,고기스타그램,음식,음식스타그램,먹스타그램,,,,,,,,,,,,
76,Eonju Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Eonju Station,0주,리마장82,글래드라이브강남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Eonju Station,0주,리마장82,글래드라이브강남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Eonju Station,0주,강남,점심식사,고마운,동료들과,평일점심,점심시간,버킷리스트달성,안녕,언주역맛집,논현갈비,서비스는별로,직장인점심,힘내자우리,,,,,,,,,,,,,,,,,,,
80,Eonju Station,0주,올라아보,holaavo,아보카도,멕시코음식,avocado,포케,샐러드,salad,데이트,가족모임,회식,모임장소추천,데이트맛집,이수역,이수역맛집,이수맛집,사당역맛집,사당맛집,맛집추천,오늘뭐먹지,언주역,언주역맛집,논현맛집,강남맛집,역삼맛집,강남역맛집,gangnam,,,,,
81,Eonju Station,0주,달링스테이크언주점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Eonju Station,0주,daily,f4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Eonju Station,0주,humming,balvenie,LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Eonju Station,0주,알리파스타,알리파스타신사본점,알리파스타차병원사거리점,언주역맛집,신사역맛집,신사동맛집,가로수길맛집,압구정맛집,신사동파스타,파스타맛집,가성비파스타,피자맛집,피맥,신사동피맥,점심식사,신사동점심,맛점,압구정점심,,,,,,,,,,,,,,
85,Eonju Station,0주,킹크랩,랍스타,대게나라,강남,언주역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Eonju Station,0주,김돈이언주점,술이들어간다쭉쭉쭉,오겹살맛집,언주역맛집,고향온기분,아무생각말고,만취로귀가,,,,,,,,,,,,,,,,,,,,,,,,,
87,Eonju Station,0주,39,현충일휴무,빨간날은쉬어요,마이니치라멘,라멘,강남라멘,논현라멘,언주라멘,언주역맛집,쇼유라멘,시오라멘,토리파이탄,아부라소바,라멘만세,화이팅,,,,,,,,,,,,,,,,,
88,Eonju Station,0주,이수맛집,올라아보,파히타,하와이안연어포케,regrann,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Eonju Station,0주,언주역맛집,가야식당,모듬전,제육볶음,오징어볶음,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Eonju Station,0주,20200605,food,foodie,instafood,foodporn,lunch,dinner,foodstagram,foodstyling,foodstylist,seoul,korea,,,,,,,,,,,,,,,,,,,,
91,Eonju Station,0주,muckbang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Eonju Station,0주,카페퓨,요거트초코볼,마카롱,덜단마카롱,당충전,감성카페,분위기좋은카페,언주역카페,언주역맛집,역삼동맛집,논현동맛집,마카롱맛집,좋아요반사,덜단마카롱,인친,마카롱카페,언주역디저트,언주역디저트카페,예쁜카페,강남카페추천,좋아요반사,,,,,,,,,,,
93,Eonju Station,0주,에브리카롱,요거트초코볼,덜단마카롱을,당충전,감성카페,분위기좋은카페,언주역카페,언주역맛집,역삼동맛집,논현동맛집,마카롱맛집,좋아요반사,덜단마카롱,인친,마카롱카페,언주역디저트,언주역디저트카페,예쁜카페,강남카페추천,좋,,,,,,,,,,,,
94,Eonju Station,0주,반주,남도포차,고갈비,고추장찌개,감자치즈,술스타그램,먹스타그램,강남맛집,신논현역맛집,언주역맛집,친스타그램,일상,,,,,,,,,,,,,,,,,,,,
95,Eonju Station,0주,좋은인연,업무미팅후,언주역맛집,사람사는고깃집김일도,장과장님,골프치러가요,언주역,헤어지는길에,아쉬워서,기념사진촬영,,,,,,,,,,,,,,,,,,,,,,
96,Eonju Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Eonju Station,0주,jmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Eonju Station,0주,언주역맛집,육개장칼국수,보쌈,만두,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Eonju Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Eonju Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Eonju Station,0주,칠성집,역삼맛집,언주역맛집,오늘은밥하기싫어서,딴길로새기,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Eonju Station,0주,조기마감,재료소진,저녁영업없어요,마이니치라멘,라멘,강남라멘,논현라멘,언주라멘,언주역맛집,쇼유라멘,시오라멘,토리파이탄,아부라소바,라멘만세,화이팅,잔반제로의그날까지,,,,,,,,,,,,,,,,
103,Eonju Station,0주,모카런던,언주역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Eonju Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Eonju Station,0주,언주역맛집,능라도,더운날씨엔역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Eonju Station,0주,술스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Eonju Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
