,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
38,Gimpo Airport Station,97주,맛집,맛집탐방,김포공항역맛집,롯데몰맛집,롯데몰김포공항점,온더보더,온더보더김포공항점,멕시칸요리,구아카몰라이브,bbq브리스켓퀘사디아,얼티밋화이타,빅플래터,나만좋아해,,,,,,,,,,,,,,,,,,
39,Gimpo Airport Station,106주,탄탄면공방,마곡점,강서구맛집,탄탄면,라면,발산역맛집,김포공항역맛집,마곡엘지사이언스맛집,힐스테이트에코마곡맛집,뉴오픈,마곡맛집,점심메뉴,오늘점심은여기다,,,,,,,,,,,,,,,,,,
40,Gimpo Airport Station,108주,온더보더,퀘사디에,샐러드,버니니리따,코로나리타,탠저린라떼,좋은선후배사이,노력할게요,백수스타그램,김포공항롯데몰,김포공항역맛집,곧다시만나요,이번엔제가한번쏩니다,,,,,,,,,,,,,,,,,,
41,Gimpo Airport Station,111주,마카롱,마카롱그램,마카롱스타그램,벚꽃마카롱,벚꽃에이드,데이트장소,데이트맛집,서울데이트,서울데이트코스,서울데이트장소,김포공항맛집,송정역맛집,김포공항역맛집,,,,,,,,,,,,,,,,,,
42,Gimpo Airport Station,125주,롯데시티호텔김포공항,롯데몰김포공항,서울,서울맛집,김포공항역,김포공항역맛집,갓덴스시,스시,맛스타그램,회전초밥,Seoul,Kimpo,kimpoairport,Kimpogonghangstaion,SouthKorea,tastagram,Sushi,gatensushi,민슐랭스타그램,Minchelinstargram,,,,,,,,,,,
43,Gimpo Airport Station,130주,도일처,맛스타그램,먹스타그램,맛집스타그램,김포공항역,맛집,김포공항역맛집,공항동맛집,방화동맛집,강서구맛집,중국집,중화요리,도일처,탕수육,사천탕수육,새우볶음밥,소자,소주,술을부르는맛,술땡겨,팔로우,좋아요,하트,선팔하면맞팔,,,,,,,
44,Gimpo Airport Station,132주,인스타푸드,푸드스타그램,푸드,food,foodstagram,instafood,먹방,먹방스타그램,먹스타그램,맛스타그램,맛있다그램,맛집,김포공항맛집,김포공항역맛집,롯데몰맛집,롯데몰김포공항점,온더보더,화이타그릴,샐러드,퀘사디아,나쵸,나쵸앤살사,무한리필나쵸,나쵸짱,,,,,,,
45,Gimpo Airport Station,147주,파스퇴르밀크바,파스퇴르,밀크아이스크림,아이스크림,후식,디저트,롯데몰맛집,김포공항역맛집,김포공항역카페,김포공항카페,카페,카페스타그램,좋아요,소통,일상,cafe,icecream,milk,foodie,instagood,daily,,,,,,,,,,
46,Gimpo Airport Station,157주,김포공항역맛집,사이드쇼,sideshow,떡볶이맛집,차돌박이떡볶이,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gimpo Airport Station,157주,김포공항역맛집,공항칼국수,버섯칼국수,버섯칼국수볶음밥,,,,,,,,,,,,,,,,,,,,,,,,,,,
