,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
31,Hansung Baekje Station,5주,어린이날,어른이날,차고버거,배민라이더스,배민오더,매장,테이크아웃,브레이크타임,,,,,,,,,,,,,,,,,,,,,,,,
32,Hansung Baekje Station,5주,방이동맛집,개나리아구찜,송파아구찜,잠실아구찜,방이시장,가락시장맛집,올림픽공원맛집,송파나루역맛집,한성백제역맛집,방이동아구찜,방이동먹자골목맛집,아구찜맛집,,,,,,,,,,,,,,,,,,,,
33,Hansung Baekje Station,5주,차고버거,수제버거,쉐이크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Hansung Baekje Station,5주,차고버거,배민라이더스,배민오더,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hansung Baekje Station,6주,차고버거,석가탄신일,근로자의날,주말,어린이날,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hansung Baekje Station,6주,골든타이,타이음식점,느아카오팟,카오팟,소고기볶음밥,볶음밥,팟타이,팟타이맛집,새우팟타이,태국팟타이,쏨땀,새우고로케,블루리본서베이,타이레스토랑,태국식당,한성백제역맛집,올림픽공원맛집,몽촌토성역맛집,방이동맛집,방이동먹자골목,송파동맛집,송파구맛집,송파타이푸드,goldenthai,goldenthailand,thaifood,먹스타그램,기정,기정,,,
37,Hansung Baekje Station,6주,차고버거,수제버거,테이크아웃,올림픽공원,피크닉,마스크는,한성백제역,몽촌토성역,방이중학교,임마누엘교회,올림픽공원평화의문,올림픽공원남4문,,,,,,,,,,,,,,,,,,,,
38,Hansung Baekje Station,6주,차고버거,로코모코,제로페이,송파사랑상품권,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Hansung Baekje Station,7주,가일,모둠회,존맛,참치의재발견,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Hansung Baekje Station,7주,첫방문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Hansung Baekje Station,7주,올림픽공원맛집,한성백제역맛집,비샵레스토랑,선팔,맞팔,f4f,선팔하면맞팔,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hansung Baekje Station,8주,투표,수제버거,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hansung Baekje Station,8주,가일,방이동맛집,방이동술집,방이동이자카야,송파맛집,연어맛집,한성백제역맛집,몽촌토성역맛집,올림픽공원근처맛집,맛스타그램,먹스타그램,푸드스타그램,안주맛집,맛집맞팔,맛스타맞팔,먹스타맞팔,선팔맞팔,좋아요반사,선팔하면맞팔,오늘뭐먹지,오늘뭐먹으까,맛집투어,맛집탐방,,,,,,,,,
44,Hansung Baekje Station,8주,크림맛집,얼터너티브,송리단길맛집,한성백제역맛집,한성백제역카페,송리단길카페,카페얼터너티브,alternative,흑임자맛집,단호박맛집,할머니입맛저격,,,,,,,,,,,,,,,,,,,,,
45,Hansung Baekje Station,8주,차고버거,수제버거맛집,방이동맛집,한성백제역맛집,몽촌토성역맛집,송파맛집,잠실맛집,올림픽공원맛집,올림픽공원근처맛집,서울맛집투어,맛집투어,맛집탐방,바닐라쉐이크,칠리치즈프라이,맛스타그램,먹스타그램,푸드스타그램,맛스타맞팔,먹스타맞팔,맛집맞팔,선팔맞팔,선팔하면맞팔,오늘뭐먹으까,오늘뭐먹지,좋아요반사,,,,,,,
46,Hansung Baekje Station,8주,사전투표,방이2동주민센터,차고버거,방이중학교,임마누엘교회,한성백제역,몽촌토성역,올림픽공원,평화의문,,,,,,,,,,,,,,,,,,,,,,,
47,Hansung Baekje Station,8주,알척,살롱드쥬,올림픽공원,시칠리아,카포나타,포카차,스프리츠,시그니쳐메뉴,파케리타투포,아마트리치아나,리코타시금치라비올리,봉골레,이탈리아와인,바르베라다스티,프로슈토피자,커피그라니따,올림픽공원이탈리아식당,올림픽공원맛집,스태피의맛집,스태피의이탈리아식당,이탈리아식당,이탈리아레스토랑,송파구이탈리아식당,송파구맛집,한성백제역맛집,방이역맛집,,,,,,
48,Hansung Baekje Station,9주,바닐라쉐이크,석촌호수,벚꽃놀이,올림픽공원,피크닉,차고버거,ChagoB,배민라이더스,배민오더,배달,포장,,,,,,,,,,,,,,,,,,,,,
49,Hansung Baekje Station,10주,토키야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hansung Baekje Station,10주,맛집매니아,맛집,맛집추천,맛집스타그램,맛집탐방,맛집투어,비샵레스토랑,b,레스토랑,올림픽공원,올림픽공원맛집,파스타,파스타맛집,피자,피자맛집,샐러드,샐러드맛집,방이동,방이동맛집,방이동맛집추천,한성백제역,한성백제역맛집,,,,,,,,,,
51,Hansung Baekje Station,10주,봄,사회적거리두기,차고버거,배민라이더스,배민오더,포장,테이크아웃,,,,,,,,,,,,,,,,,,,,,,,,,
52,Hansung Baekje Station,10주,피기쓰픽,차고버거,비프칠리라이스,로코모코,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Hansung Baekje Station,10주,피기쓰픽,차고버거,에그룸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Hansung Baekje Station,11주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드맛집,로봇서빙,잠실데이트,석촌호수맛집,송리단길맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,딸기주스,석촌호수데이트,,
55,Hansung Baekje Station,11주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드맛집,로봇서빙,잠실데이트,석촌호수맛집,송리단길맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,딸기주스,콘옥수수스프,,
56,Hansung Baekje Station,11주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드맛집,로봇서빙,잠실데이트,석촌호수맛집,송리단길맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,딸기주스,석촌호수데이트,,
57,Hansung Baekje Station,11주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,로봇식당,메리,배달의민족,샐러드맛집,로봇서빙,잠실데이트,석촌호수맛집,송리단길맛집,올공맛집,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,톨스토이명언,파스타맛집,배달의민족,메리고,,
58,Hansung Baekje Station,11주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드맛집,로봇서빙,잠실데이트,석촌호수맛집,송리단길맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,딸기주스,석촌호수데이트,,
59,Hansung Baekje Station,11주,메리고키친,merrygokitchen,방이동맛집,올림픽공원맛집,한성백제역맛집,잠실맛집,송파맛집,파스타,스테이크,로봇식당,메리,배달의민족,샐러드맛집,로봇서빙,잠실데이트,석촌호수맛집,송리단길맛집,올공맛집,와인레스토랑,분위기맛집,와인한잔,혼술,혼밥,배달가능,클라우드생맥주,selife,키즈존,맘카페,석촌호수데이트,코로나예방,,
