,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
15,Dongjak Station,17주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,TV다수출연레스토랑펍,연예인들의아지트,아이언펍,아이언펍,흑석동맛집,아이언키친,,,,,,,,,,,,,,,
16,Dongjak Station,20주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,구반포최초의수제맥주집,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,학센,,,,,,,,,,,,,,,,
17,Dongjak Station,22주,먹스타그램,맛스타그램,아이언펍,맥주스타그램,깔라마리,수제맥주맛집,구반포최초수제맥주집,구반포역맛집,흑석동맛집,중앙대맛집,ironpub,동작역맛집,,,,,,,,,,,,,,,,,,
18,Dongjak Station,24주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,,,,,,,,
19,Dongjak Station,27주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,,,,,,,,
20,Dongjak Station,27주,도도한스타우트,생활맥주,구반포역점,데일리비어,수제맥주,크래프트비어,맥주,오늘의맥주,흑맥주,스타우트,핸드앤몰트,반포맛집,카페골목맛집,동작역맛집,구반포,12월,첫날,비,겨울비,,,,,,,,,,,
21,Dongjak Station,27주,하이네켄,heineken,생활맥주,구반포역점,사장님,최애,맥주,한강공원,서래섬,나들이,반포한강공원,노을,반포데이트,반포맛집,동작역맛집,,,,,,,,,,,,,,,
22,Dongjak Station,27주,강남페일에일,광안리위트,도도한스타우트,가평홉캉스IPA,태평양IPA,생활맥주,구반포역점,데일리비어,수제맥주,크래프트비어,에일맥주,밀맥주,흑맥주,IPA,맥주,맥덕,오늘의맥주,연말,감사행사,반포맛집,카페골목맛집,동작역맛집,와줘서고마워요,,,,,,,
23,Dongjak Station,28주,앵그리버드,생활맥주구반포역점,구반포,구반포역,할리스커피,바닐라딜라이트,옆집,생활맥주,구반포역점,데일리비어,수제맥주,크래프트비어,에일맥주,맥주,반포데이트,반포맛집,카페골목맛집,동작역맛집,,,,,,,,,,,,
24,Dongjak Station,29주,아이언펍,구반포아이언펍,수제맥주집,수제맥주맛집,동작역맛집,9호선맛집,반포맛집,서초구맛집,,,,,,,,,,,,,,,,,,,,,,
25,Dongjak Station,30주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Dongjak Station,30주,방배동맛집,동작역맛집,중국요리맛집,파크루안,방배카페골목맛집,탕수육,왕갈비짬뽕,후식아이스크림,짬뽕좋아하시는엄마랑같이방문하고싶다,모든재료신선,좋은재료를풍성하게,,,,,,,,,,,,,,,,,,,
27,Dongjak Station,34주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언키친,,,,,,,,,,,,,,,,,,
28,Dongjak Station,34주,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,오픈3800일기념이벤트,이벤트,렛츠기릿,맛있게드시고도전하세요,예약하세요,,,,,,,,,,,,
29,Dongjak Station,34주,아이언펍,ironpub,구반포역맛집,구반포맛집,먹스타그램,맛스타그램,맥주스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
30,Dongjak Station,34주,아이언펍,ironpub,먹스타그램,맛스타그램,구반포역맛집,구반포맛집,맥주스타그램,흑석동맛집,아이언키친,중대맛집,중앙대맛집,동작역맛집,9호선맛집,4호선맛집,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,
31,Dongjak Station,34주,아이언펍,ironpub,먹스타그램,맛스타그램,구반포맛집,구반포역맛집,맥주스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
32,Dongjak Station,34주,아이언펍,ironpub,구반포역맛집,구반포맛집,먹스타그램,맛스타그램,맥주스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
33,Dongjak Station,34주,아이언펍,ironpub,먹스타그램,맛스타그램,구반포역맛집,구반포맛집,맥주스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
34,Dongjak Station,34주,아이언펍,ironpub,구반포맛집,구반포역맛집,맥주스타그램,먹스타그램,맛스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
35,Dongjak Station,34주,아이언펍,ironpub,구반포역맛집,구반포맛집,먹스타그램,맛스타그램,메뉴,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
36,Dongjak Station,34주,아이언펍,ironpub,구반포맛집,구반포역맛집,먹스타그램,맛스타그램,메뉴,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
37,Dongjak Station,34주,아이언펍,ironpub,구반포역맛집,구반포맛집,먹스타그램,맛스타그램,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,,
38,Dongjak Station,34주,아이언펍,ironpub,구반포맛집,구반포역맛집,먹스타그램,맛스타그램,메뉴판,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,,,,,,
39,Dongjak Station,34주,아이언펍,ironpub,구반포맛집,구반포역맛집,맛스타그램,먹스타그램,도배쏘리,중앙대맛집,흑석동맛집,4호선맛집,9호선맛집,동작역맛집,구반포맛집,구반포역,동작역맛집,동작역,수제맥주,크라프트비어,퓨전요리,패밀리레스토랑,펍,연예인들의아지트,아이언펍,아이언펍,아이언키친,,,,,
40,Dongjak Station,42주,방배동맛집,구반포역맛집,강남데판야끼,강남데이트장소,동작역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
41,Dongjak Station,48주,동작이수회관,동작횟집,동작구맛집,동작역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Dongjak Station,48주,방배동맛집,동작역맛집,신사동떡볶이,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Dongjak Station,51주,생활맥주,구반포역점,생활맥주구반포역점,데일리비어,수제맥주,크래프트비어,에일맥주,구반포멋집,구반포맛집,반포맛집,카페골목맛집,방배맛집,동작역맛집,신메뉴,아이스크림,젤라또,나초칩,빨라쪼,,,,,,,,,,,,
44,Dongjak Station,51주,생활맥주,구반포역점,데일리비어,수제맥주,크래프트비어,에일맥주,맥주,맥덕,치덕,반포맛집,카페골목맛집,방배맛집,동작역맛집,강남페일에일,강남,페일에일,u20월드컵,,,,,,,,,,,,,
