,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
57,Yeomchang Station,0주,목동바이젠하우스,목동피자맛집,목동타코맛집,염창역맛집,이시간에,,,,,,,,,,,,,,,,,,,,,,,,,
58,Yeomchang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Yeomchang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Yeomchang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Yeomchang Station,0주,윰,yum,윰비스트로,비스트로윰,bistro,모히또개시,라임모히또,염창역맛집,강서구맛집,목이동맛집,목동맛집,목이동시장,염창역파스타,부야베스맛집,강서놀자,맛집추천,혼술혼밥,목동혼술,목동혼밥,mojitotime,limeandapplemint,hotseasonstarted,,,,,,,,
62,Yeomchang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Yeomchang Station,0주,여기는어디죠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Yeomchang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Yeomchang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Yeomchang Station,1주,빛나러,프로필링크클릭,첫줄,염창역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미역맛집,빛나러오소,행주산성맛집,한강,여의도맛집,월요일,좋반,화요일,6월네일,여름네일아트,화이팅,일상그램,양천향교맛집,강서구,강서구맛집,발산맛집,,,,,,,
67,Yeomchang Station,1주,튀김덮밥,신야텐야,염창역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Yeomchang Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Yeomchang Station,1주,Repost,6,이벤트,이달의아트,이벤트네일,난지캠핑장,캠핑,고기,,,,,,,,,,,,,,,,,,,,,,
71,Yeomchang Station,1주,윰,yum,윰비스트로,비스트로윰,bistro,오늘의파스타,새발나물,엔쵸비파스타,방울토마토,올리브오일,염창역맛집,강서구맛집,목이동맛집,목동맛집,목이동시장,염창역파스타,부야베스맛집,강서놀자,맛집추천,혼술혼밥,목동혼술,목동혼밥,todayspasta,koreangreensprout,anchovypasta,,,,,
72,Yeomchang Station,1주,12,언니쓰포차,목동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Yeomchang Station,1주,빛나러,프로필링크클릭,첫줄,염창역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미역맛집,빛나러오소,행주산성맛집,한강,여의도맛집,월요일,좋반,화요일,6월네일,여름네일아트,화이팅,일상그램,양천향교맛집,강서구,강서구맛집,발산맛집,,,,,,,
74,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Yeomchang Station,1주,82,염창역맛집,수제버거,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Yeomchang Station,1주,빛나러,프로필링크클릭,첫줄,증미역네일,강서구청네일,등촌역네일,가양역네일,증미역뷰러펌,빛나러오소,데일리그램,3월,좋반,화요일,아침,출근,여의도맛집,마곡맛집,강서구,강서구맛집,염창역맛집,,,,,,,,,,
79,Yeomchang Station,1주,효도눈썹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Yeomchang Station,2주,20200526,오랜만에자유시간,나의최애맛집중하나,얼마만이야이게,등촌역,등촌역맛집,등촌역스시,강서구맛집,목동맛집,염창역맛집,등촌역스시경,초밥맛집,사시미맛집,존맛탱,빨리먹고싶어서,현기증나요,,,,,,,,,,,,,,
81,Yeomchang Station,1주,안주맛집,명란스테이크,돼지갈비,쏘맥,술취해눈풀린건안비밀,분위기깡패,감성술집,웨이팅필수,염창역맛집,한잔,염창역술집,목2동맛집,내기억은어디로,촉촉하니,얼큰하군하,부부일상,코로나제발꺼져,일상그램,,,,,,,,,,,,
82,Yeomchang Station,1주,daily,selfie,일상,소통,생활,셀피,셀카,셀피그램,일상그램,셀스타그램,얼스타그램,미녀,훈녀,흔녀,셀카그램,맛집,미시락,염창역,염창역맛집,열무냉칼국수,버거킹,디저트,배터지는월요일,,,,,,,
83,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Yeomchang Station,1주,저세상쫄깃함,미시락칼국수,염창역맛집,유니랑,오래오래,,,,,,,,,,,,,,,,,,,,,,,,,
85,Yeomchang Station,1주,yum,bistro,todayspasta,truffleoilpasta,mushroompasta,,,,,,,,,,,,,,,,,,,,,,,,,
86,Yeomchang Station,1주,염창역,염창역맛집,북촌손만두,피냉면,갈비만두,맞팔,먹팔,좋반,,,,,,,,,,,,,,,,,,,,,,
87,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Yeomchang Station,1주,미시락칼국수,냉칼국수,열무냉칼국수,육개장칼국수,왕만두,염창동맛집,염창역맛집,목동맛집,강서구맛집,강서구칼국수맛집,TV맛집,먹스타그램,맛스타그램,성은짱먹스타,,,,,,,,,,,,,,,,
90,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Yeomchang Station,1주,강모집,염창역맛집,먹스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Yeomchang Station,1주,용왕산포차,용포,목2동맛집,목2동시장,염창역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
94,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Yeomchang Station,1주,진미집,칼국수,칼국수맛집,계란말이,닭발,염창역맛집,염창동,염창동맛집,소맥파티,,,,,,,,,,,,,,,,,,,,,
99,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Yeomchang Station,1주,남매,가족,간호사남매,니가좀와봐,염창역간판없는집,염창역맛집,염창역쌀국수,아시안드리밍,술친구,,,,,,,,,,,,,,,,,,,,,
102,Yeomchang Station,1주,강모집,염창역맛집,염창역,맛스타맞팔,맛스타그램,먹스타맞팔,먹스타그램,맞팔,가양역맛집,양천향교역맛집,염창역돼지고기,제주돼지,,,,,,,,,,,,,,,,,,
103,Yeomchang Station,1주,염창역술집,염창역술집언니쓰포차,염창역핫플레이스,염창역맛집,염창역럭셔리포차,염창역포차,목2동근처술집,목2동맛집,목동술집,목동맛집,분위기좋은술집,가성비좋은동네술집,목동럭셔리포차,,,,,,,,,,,,,,,,,
104,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Yeomchang Station,1주,yum,bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Yeomchang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Yeomchang Station,1주,강서구곱창집,염창역맛집,염창동맛집,염창동곱창집,염창동한우곱창,염창역한우곱창,,,,,,,,,,,,,,,,,,,,,,,,
