,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
47,Express Bus Terminal Station,2주,로운샤브샤브샤브,민달푸드,서울맛집,맛집,반초역맛집,고속터미널역맛집,반초샤브샤브,로운샤브샤브뉴코아,샤브샤브,샤브샤브스타그램,불짬뽕,맛집스타그램,맛집추천,맛집탐방,식도락,식도락여행,먹팔,먹팔로우,존맛,존맛탱,먹스타그램,맛스타그램,먹방,먹방스타그램,항공샷,,,,,,,,
48,Express Bus Terminal Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Express Bus Terminal Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Express Bus Terminal Station,3주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,,,,,
51,Express Bus Terminal Station,3주,devilsdoor,foodiegram,foodporn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Express Bus Terminal Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Express Bus Terminal Station,3주,고속터미널맛집,고속터미널역맛집,고속버스터미널맛집,떡볶이맛집,떡볶이,떡볶이는사랑,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Express Bus Terminal Station,3주,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Express Bus Terminal Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Express Bus Terminal Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Express Bus Terminal Station,4주,반포맛집,충무할매김밥,수제비,수제비맛집,손수제비,충무김밥,충무김밥맛집,서초구맛집,잠원동맛집,반포동맛집,고속터미널맛집,고속터미널역맛집,고터맛집,혼밥,혼밥러,옴뇸뇸먹방,옴뇸뇸혼밥,프로혼밥러의하루,,,,,,,,,,,,,,,
58,Express Bus Terminal Station,4주,고속터미널역,무월식탁,막걸리,맛집,고속터미널역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Express Bus Terminal Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Express Bus Terminal Station,4주,고터맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Express Bus Terminal Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Express Bus Terminal Station,5주,먹스타그램,먹스타맞팔,맞팔,먹스타,맛스타그램,맛스타,맛집,맛집추천,instafood,foodie,food,칼국수,쫄면,만두,분식,고속터미널,고속터미널맛집,고속터미널역,고속터미널역맛집,,,,,,,,,,,,,,
63,Express Bus Terminal Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Express Bus Terminal Station,5주,베테랑칼국수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Express Bus Terminal Station,5주,텍사스데브라질,스테이크,고터맛집,고속터미널역맛집,한강,한강공원,야경,생일,생일파티,강남,무월,딸기바나나우유막걸리,존맛,청포도막걸리,,,,,,,,,,,,,,,,,,,
66,Express Bus Terminal Station,5주,토다이,고속터미널역맛집,파미에스테이션맛집,데일리,대학생,일상,맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Express Bus Terminal Station,5주,차일,파미에스테이션맛집,파미에스테이션,중식당,고속터미널역맛집,서울데이트,주말데이트,일상,데일리,가지새우탕수육,완전맛있어,마라탕면,쏘쏘,새우볶음밥,쏘쏘,,,,,,,,,,,,,,,,,,
68,Express Bus Terminal Station,5주,노브랜드버거,또먹고싶은맛,햄버거맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Express Bus Terminal Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Express Bus Terminal Station,5주,산쪼메,서래마을,텐동,일본라멘,강남맛집,고속터미널역맛집,서래마을맛집,산쪼메삼보팀,,,,,,,,,,,,,,,,,,,,,,,,,
71,Express Bus Terminal Station,5주,고속터미널맛집,고속터미널역맛집,반포맛집,잠원동맛집,반포동맛집,치맥,치킨,치킨맛집,치맥,옛날치킨,생맥주,하얀집,하얀집호프,,,,,,,,,,,,,,,,,,,,
72,Express Bus Terminal Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Express Bus Terminal Station,5주,일상,반포,고속터미널역맛집,한우리,고기국수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Express Bus Terminal Station,5주,신세계백화점강남점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Express Bus Terminal Station,6주,오늘의일기,만뽀,고속터미널맛집,파미에스테이션,점심한끼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Express Bus Terminal Station,6주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Express Bus Terminal Station,6주,고속터미널역맛집,고터맛집,고터떡볶이,파미에스테이션맛집,즉석떡볶이,빌라드스파이시,흑당츄러스,맛집,추천,먹방,맛보장,먹스타그램,맛스타그램,음식,foodie,인스타푸드,맛집투어,일상,맞팔,선팔,좋아요,맞팔해요,맞팔선팔,맞팔선팔환영,팔로우,follow,ff,,,,,,
78,Express Bus Terminal Station,6주,차알,고속터미널맛집,고속터미널맛집추천,고터맛집,고터맛집추천,파미에스테이션맛집,파미에스테이션맛집추천,고속터미널역맛집,고속터미널역맛집추천,,,,,,,,,,,,,,,,,,,,,,,,
79,Express Bus Terminal Station,6주,예술의전당,예술의전당맛집,서초역맛집,서초맛집,방배역맛집,방배맛집,반포역맛집,반포맛집,남부터미널맛집,고속터미널맛집,남부터미널역맛집,고속터미널역맛집,서울맛집,미슐랭2020,미슐랭,먹스타,먹스타그램,맛스타,맛스타그램,먹부림,만두국,만둣국,만두국맛집,만둣국맛집,맛스타소통,맛스타맞팔,이북식손만두,오징어순대,존맛,좋아요반사,,,
80,Express Bus Terminal Station,43주,3birds,고터맛집,망고빙수,드라이아이스효과굿,이뿌지만막퍼먹,센트럴시티,센트럴시티맛집,센트럴시티브런치,강남고속버스터미널,강남고속터미널맛집,고속버스터미널,고속버스터미널맛집,고속터미널,고속터미널맛집,고속터미널역,고속터미널역맛집,,,,,,,,,,,,,,,,,
81,Express Bus Terminal Station,6주,고속터미널,텍사스데브라질,서울맛집,서울맛집추천,서울맛집투어,먹스타그램,맛스타그램,맞팔환영,맞팔선팔환영,먹스타맞팔,슈하스코,슈하스코무한리필,슈하스코맛집,뷔페추천,서울뷔페추천,서울뷔페맛집,고속터미널맛집,고속터미널역맛집,반포동맛집,반포맛집,고기뷔페,무한리필,,,,,,,,,,,
