,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
56,Sapyeong Station,37주,리코타치즈샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sapyeong Station,37주,에그치즈파니니,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sapyeong Station,37주,엣토스조식,반포리체아파트,예약주민,예약대기,등심돈가스,나시고렝,귀리안심샐러드,,,,,,,,,,,,,,,,,,,,,,
59,Sapyeong Station,39주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sapyeong Station,40주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sapyeong Station,40주,엣토스,신메뉴,나시고렝,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sapyeong Station,40주,신제품,나시고렝,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sapyeong Station,41주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sapyeong Station,41주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sapyeong Station,45주,오징어먹물리조또,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sapyeong Station,45주,엣토스파니니,닭다리살토마토파니니,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sapyeong Station,45주,엣토스커리,인도커리,이태리파스타,히트커리메뉴,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sapyeong Station,49주,엣토스아침,화요엣토스,엣토스조식,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sapyeong Station,49주,엣토스아침,치킨데리야끼,월도프샐러드,파니니치즈베이컨,,,,,,,,,,,,,,,,,,,,,,,,,
70,Sapyeong Station,49주,젠코예약화면,엣토스예약화면,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Sapyeong Station,49주,엣토스아침,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Sapyeong Station,50주,베이컨계란덮밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,
