,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
43,National Assembly Building Station,2주,국회의사당맛집,국회의사당카페,국회의사당역맛집,국회의사당역,국회카페,웰빙쥬스,헬시쥬스,건강음식,헬시푸드,착즙주스,착즙쥬스,착즙하는남자,사과케일주스,사과비트주스,,,,,,,,,,,,,,,,,
44,National Assembly Building Station,2주,국회의사당맛집,국회의사당역맛집,수제버거맛집,오리지널치즈버거,originalcheeseburger,burger,cheeseburgers,치즈버거,햄버거,햄버거맛집,햄버거추천,수제버거전문점,,,,,,,,,,,,,,,,,,,
45,National Assembly Building Station,2주,여의도맛집,여의도점심,서여의도맛집,여의도횟집,국회의사당역맛집,여의도가족모임,여의도모임장소,노조미,여의도노조미,맛있다,죤맛,여의도일식,좋아요,맞팔,,,,,,,,,,,,,,,,,
46,National Assembly Building Station,2주,디저트,마카롱,뚱카롱,여의도디저트,디저트맛집,macaron,macarons,dessert,스콘맛집,여의도,여의도맛집,한강공원,서울마카롱,국회의사당역맛집,단체주문,답례품,,,,,,,,,,,,,,,
47,National Assembly Building Station,2주,휴일,가족모임,테라스,그리디몬,여의도공원,국회의사당역맛집,방송국맛집,kbs,greedymon,야의도수제버거,배달맛집,수제맥주,커피,화이타,윙,플래터,피자,쿠팡이츠,배민,,,,,,,,,,,,
48,National Assembly Building Station,2주,신혼부부일상,여의도맛집,신당양곱창,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,National Assembly Building Station,2주,긴장감가득,리얼영상,활어회,회맛집,홍보영상,사시미코스,국회의사당역맛집,,,,,,,,,,,,,,,,,,,,,,,,
50,National Assembly Building Station,2주,수제맥주맛집,다양한수제맥주,다양한안주,그리디몬,여의도수제버거,버맥,여의도펍,테라스,여의도공원뷰,방송국맛집,kbs,국회의사당역맛집,그리디몬수제버거,여의도역맛집,단체회식,방청,단체모임,배달맛집,쿠팡이츠,배민,푸드플라이,요기요플러스,,,,,,,,,
51,National Assembly Building Station,2주,여의도맛집,순남시래기,곱창뚝배기,여의도점심,국회의사당역맛집,먹방,맛집투어,맛스타그램,국밥맛집,마시따,반찬무한리필,국밥충,맞팔해요,선팔맞팔,먹스타소통,좋반,좋아요반사,f4f,여의도점심,국회의사당점심,,,,,,,,,,,
52,National Assembly Building Station,2주,오늘저녁버맥,그리디몬,퇴근후한잔,여의도펍,여의도수제버거,greedymon,단체회식,국회의사당역맛집,더샵아일랜드파크맛집,방송국맛집,kbs,배달맛집,쿠팡이츠,배민,푸드플라이,아나운서들이많찾는곳,,,,,,,,,,,,,,,
