,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
66,Samjeon Station,2주,눈썹,잠실눈썹,잠실눈썹,잠실,삼전역자연눈썹,삼전역,잠실역,송파역,삼전역맛집,삼전역화장눈썹,삼전역눈썹,송파눈썹,석촌눈썹,송파뷰티,잠실뷰티,잠실메이크업,송파메이크업,삼전메이크업,,,,,,,,,,,,,,
67,Samjeon Station,2주,부일갈매기,builharami,쇼츄,shochu,사케,sake,돼지고기,pork,항정살,갈매기살,소고기,beef,우설,안창살,막창,타래갈비살,염통,스태미나,잠실본동맛집,잠실새내역맛집,삼전역맛집,seoul,korea,,,,,,,,,
68,Samjeon Station,2주,사실앞치마에도뙇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Samjeon Station,2주,꽃낙지,잠실맛집,잠실맛집추천,잠실동맛집,삼전역맛집,막걸리안주,삼낙볶음,,,,,,,,,,,,,,,,,,,,,,,,,
70,Samjeon Station,2주,맛집,먹방,먹스타그램,먹방그램,채1짱,냉면,함흥냉면,만두,잠실새내맛집,삼전역맛집,부미면옥,잠실새내,,,,,,,,,,,,,,,,,,,,
71,Samjeon Station,2주,삼전역맛집,삼전역초밥,잠실초밥,혼밥추천,잠실맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Samjeon Station,2주,맛스타그램,먹스타그램,맛집,instafood,foodstagram,food,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Samjeon Station,2주,불금,물회,스시자카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Samjeon Station,2주,잠실동의축복,라미아파밀리아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Samjeon Station,4주,라미아파밀리아,메이플레몬치킨팝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Samjeon Station,5주,남도팥칼국수,송파구,삼전동,삼전동맛집,삼전맛집,삼전역맛집,잠실동,동네맛집,팥칼국수,칼국수,부동산,스마일부동산,공인중개사,삼전동부동산,삼전동공인중개사,,,,,,,,,,,,,,,,,
77,Samjeon Station,7주,잠실동의축복,라미아파밀리아,잠실새내레스토랑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Samjeon Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Samjeon Station,2주,잠실동의축복,라미아파밀리아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Samjeon Station,2주,잠실새내,삼전역,삼전역맛집,크림파스타,마르게리따,바질리조또,리꼬르도,,,,,,,,,,,,,,,,,,,,,,,,,
81,Samjeon Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Samjeon Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Samjeon Station,2주,편식권장,피자쿠치나,쿠치나스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Samjeon Station,2주,모든게완벽했던,뇸뇸베이키,그중에서도,쑥컵케이크,맛있어요,귀요미케이크,귀요미쿠키,귀욤귀욤,귀요미들천지,,,,,,,,,,,,,,,,,,,,,,,
85,Samjeon Station,2주,오늘점심,메밀콩국수,봉평산골메밀촌,삼전동,삼전동맛집,잠실맛집,삼전역맛집,메밀막국수,공인중개서,부동산,삼전동부동산,삼전동공인중개사,스마일부동산,,,,,,,,,,,,,,,,,,,
86,Samjeon Station,3주,라미아파밀리아,잠실맛집,삼전역맛집,잠실파스타,잠실스테이크,잠실레스토랑,감성레스토랑,음식스타그램,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,
87,Samjeon Station,3주,딸기라떼좋아,카야토스트테이크아웃,삼전역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Samjeon Station,3주,그것이개발자의길,구워진게맛있어보는건,기분탓인가,피자도우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Samjeon Station,3주,송파,송파맛집,송파구,송파구맛집,삼전동,삼전동맛집,삼전역,삼전역맛집,석촌동,석촌동맛집,석촌고분역,석촌고분역맛집,도나우,야간얼큰우동,,,,,,,,,,,,,,,,,,
90,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Samjeon Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
