,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
34,Saetgang Station,0주,여의도맛집,샛강역맛집,야키토리전문점,열기구이,열기조림,여의도술집,데이트,모듬사시미,코지마,코지마야키토리,작은섬,진주상가2층,today,dinner,yummy,yeouido,izakaya,yakitory,bistro,soju,wine,beer,sake,,,,,,,,,,,
35,Saetgang Station,0주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
36,Saetgang Station,0주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
37,Saetgang Station,0주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Saetgang Station,1주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
39,Saetgang Station,1주,자연산광어,키조개관자,아나고,우니,진심을담은요리,진담리,데이트코스,괜찮은곳,여긴몰랐지,여의도맛집,점심메뉴,여의도점심맛집,오늘뭐먹지,태양빌딩,여의도술집,퓨전요리,여의도술집추천,샛강역맛집,너무,숨은맛집,정겨운오뎅,구포국수,kbs별관,우니맛집,시메사바,생참치,JMT,여의도스시,여의도초밥맛집,스시,,,,
40,Saetgang Station,1주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,목동맛집,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
41,Saetgang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saetgang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Saetgang Station,1주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
44,Saetgang Station,1주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
45,Saetgang Station,1주,국가대패여의도점,대한민국국가대표,국가대표삼겹살,국가대표해장국,대패삼겹살맛집,해장국맛집,직화구이,여의도대패삼겹살,여의도해장국,샛강역맛집,드디어내일오픈,,,,,,,,,,,,,,,,,,,,,,,
46,Saetgang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Saetgang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Saetgang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Saetgang Station,1주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Saetgang Station,1주,여의도맛집,샛강역맛집,여의도점심,점심,점심메뉴,맛점,히가와리정식,일본가정식,메밀소바정식,메밀소바,소바맛집,텐동,매일메뉴바뀜,코지마,코지마야키토리,야키토리맛집,진주상가2층,코지마,작은섬,today,lunch,lunchmenu,yummy,jmt,yeouido,,,,,,,,,
51,Saetgang Station,1주,릴리카롱,맛있는녀석들,여의도마카롱,영등포마카롱,샛강역맛집,여의도한강공원,여의도데이트,여의도맛집,여의도디저트,여의도ifc몰,마카롱꽃다발,목동마카롱,여의도벚꽃,여의도성모병원,노량진마카롱,마포마카롱,여의도벚꽃축제,여의도카페,여의도역맛집,샛강역마카롱,여의도꽃집,좋아요,팔로우,오오티디,일상스타그램,맞팔,좋반,남양주마카롱,구로카페,,,,,
52,Saetgang Station,1주,평양관,냉면,coldnoodles,noodle,평양냉면,메밀,buckwheatnoodle,만두,수육,제육,여의도동맛집,샛강역맛집,seoul,korea,,,,,,,,,,,,,,,,,,,,
