,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
89,Jeungmi Station,3주,리그램,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미맛집,빛나러오소,데일리메이크업,좋반테러,좋반,신월동맛집,화곡역맛집,양천구맛집,일상그램,소통그램,일요일,굿나잇,강서구,발산역맛집,마곡나루맛집,,,,,,,,,,
90,Jeungmi Station,3주,웜테이블,단체대관,회식장소,강서구청맛집,등촌동맛집,강서구파스타,레스토랑대관,단체석예약가능,파스타맛집,등촌역맛집,증미역맛집,가양역맛집,죄송합니다,,,,,,,,,,,,,,,,,,,,
91,Jeungmi Station,3주,웜테이블,점심특선,오늘의파스타,만원메뉴,라구파스타,볼로네제,오지치즈,등촌맛집,증미역맛집,증미역파스타,가양역파스타,등촌역파스타,강서구맛집,강서구청파스타,데이트하기좋은곳,파스타맛집,등촌동파스타,warmtable,pasta,restaurant,wine,제로페이가맹점,강서구제로페이,,,,,,,,,,
92,Jeungmi Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Jeungmi Station,3주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,헬요일,한강,여의도맛집,좋반,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,주말,일상,소통,좋아요,젤라또,이벤트네일,nails,notd,weekend,,,,
94,Jeungmi Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Jeungmi Station,3주,웨딩네일,꽃길,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,한강,여의도맛집,좋반,웨딩,예신,신부,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,주말,일상,소통,좋아요,,,,
96,Jeungmi Station,3주,좋반,술집,이태리광장,맛집,가격,착함,떡볶이,맛집,피자,맛집,술스타그램,술한잔,술한잔해요,비오는날,비오는날데이트,부모님,분위기깡패,한잔해,먹방,먹방스타그램,,,,,,,,,,,,,
97,Jeungmi Station,3주,많이못먹음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Jeungmi Station,3주,고갈비,바쿠단,강서구맛집,강서구맛집,고등어,생선구이,회,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Jeungmi Station,3주,사용가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Jeungmi Station,3주,빛나러,프로필링크클릭,첫줄,양천향교네일,강서구청맛집,등촌역맛집,가양역네일,증미역맛집,빛나러오소,데일리메이크업,비,좋반,금요일,인싸템,패피,소통그램,강서구,강서구맛집,마곡나루맛집,,,,,,,,,,,,,,
101,Jeungmi Station,3주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청,등촌역맛집,염창역맛집,가양역맛집,양천향교맛집,빛나러오소,한강맛집,저녁,집밥,여의도맛집,봄네일아트,핵인싸,소확행,인생샷,좋아요반사,좋아요그램,강서구,강서맛집,마곡맛집,,,,,,,,,,
102,Jeungmi Station,3주,증미역맛집,빅소이,태국음식,로컬느낌,맛밥,등촌동맛집,강서구맛집,무족건먹으세여,사장님세상친절보스,사장님짱,,,,,,,,,,,,,,,,,,,,,,,
103,Jeungmi Station,3주,리미니,증미역맛집,빠네,로제파스타,맛스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Jeungmi Station,3주,월정소나타,제주돼지,추자도통멸치젓갈,대파김치,증미역맛집,등촌동맛집,오겹살맛집,목살맛집,가브리살맛집,항정살맛집,월정소나타,,,,,,,,,,,,,,,,,,,,,,
105,Jeungmi Station,4주,리그램,빛나러,프로필링크클릭,안녕,오늘,나비,봄네일,증미역맛집,강서구청네일,등촌역맛집,가양역맛집,증미역,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,금요일,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,,,,,,
106,Jeungmi Station,4주,리그램,빛나러,프로필링크클릭,안녕,오늘,나비,봄네일,증미역맛집,강서구청네일,등촌역맛집,가양역맛집,증미역,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,금요일,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,,,,,,
107,Jeungmi Station,4주,빛나러,프로필링크클릭,비,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,데일리그램,5월,좋반테러,잘자요,럽스타그램,부부스타그램,셀스타그램,오늘의훈녀,예쁘다그램,강서맛집,마곡맛집,,,,,,,,,,,,,
108,Jeungmi Station,4주,여기는어디죠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jeungmi Station,4주,warmtable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jeungmi Station,4주,유림,닭백숙,닭도리탕,증미역맛집,청하맛집,왕코맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Jeungmi Station,4주,빛나러,프로필링크클릭,첫줄,증미역맛집,강서구청맛집,등촌역맛집,가양역맛집,증미역뷰러펌,빛나러오소,헬요일,한강,여의도맛집,월요일,좋반,퇴근,셀스타그램,화이팅,일상그램,소통그램,강서구,강서구맛집,마곡나루맛집,주말,일상,소통,좋아요,젤라또,네일스타그램,넬스타그램,좋반테러,,,
112,Jeungmi Station,4주,유림보신원,증미역맛집,강서구맛집,닭볶음탕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Jeungmi Station,4주,유림닭도리탕,증미역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
