,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
642,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자맛집,JMT,상수동맛집,비빔국수,홍대맛집베스트,삼겹살맛집,연남동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,즉석떡볶이,맛집스타그램,합정동맛집,비빔국수,이영자,상수동맛집,JMT,삼겹살맛집,밥블레스유,서교동맛집,,,,,,,,,,,,,,,,,,,,,,,,
645,Seonyudo Station,6주,선유한방족발,족발맛집,선유도역맛집,쟁반막국수,막국수,족발맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자,당산맛집,냉삼초밥,밥블레스유,연남동맛집,즉석떡볶이,합정삼겹살,홍대고기집,오겹살,존맛탱,,,,,,,,,,,,,,,,,,,,,,,,
647,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,삼겹살맛집,맛집,홍대삼겹살,선유도,오겹살맛집,맛집스타그램,홍대맛집베스트,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Seonyudo Station,6주,학꽁치포,생크림단팥도넛,찹쌀핫도그,몽상고래,양평동맛집,선유도역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대삼겹살,삼겹살,비빔국수,상수동맛집,홍대데이트,맛집,오겹살,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Seonyudo Station,6주,계란말이,순두부,이천냥하우스,양평동맛집,선유도역맛집,가성비맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집,홍대삼겹살,합정동맛집,영등포맛집,삼겹살맛집,맛집스타그램,상수동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트,상수동맛집,연남동맛집,홍대데이트,홍대맛집,맛집,홍대맛집추천,합정삼겹살,이영자,,,,,,,,,,,,,,,,,,,,,,,,,
653,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,영등포맛집,합정맛집추천,홍대데이트,비빔국수,맛집,홍대맛집추천,서교동맛집,합정데이트,합정동맛집,,,,,,,,,,,,,,,,,,,,,,,,,
655,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대고기집,맛집스타그램,즉석떡볶이,상수동맛집,당산맛집,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집,당산맛집,JMT,홍대삼겹살,존맛탱,냉삼초밥,홍대맛집베스트,홍대맛집탐방,이영자,,,,,,,,,,,,,,,,,,,,,,,,,
657,Seonyudo Station,6주,누구나홀딱반한닭선유도역점,선유도맛집,선유도역맛집,선유도치킨,누구나홀딱반한닭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,홍대고기집,오겹살,존맛탱,즉석떡볶이,합정고기집,맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Seonyudo Station,6주,선유도역맛집,모리라멘,토리파이탄라멘,워너커피,크리미라떼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Seonyudo Station,6주,선유도역맛집,양화당,고기국수,고기튀김,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집스타그램,삼겹살,냉삼초밥,연남동맛집,비빔국수,이영자,이영자맛집,선유도,홍대데이트,홍대맛집베스트10,,,,,,,,,,,,,,,,,,,,,,,,
662,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정고기집,합정역맛집,당산맛집,JMT,냉삼초밥,이영자,선유도,즉석떡볶이,차돌박이,,,,,,,,,,,,,,,,,,,,,,,,,
663,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트10,홍대데이트,합정역맛집,차돌박이,오겹살,홍대맛집탐방,이영자맛집,비빔국수,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,
664,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정고기집,오겹살맛집,서교동맛집,즉석떡볶이,밥블레스유,오겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집,오겹살맛집,영등포맛집,맛집스타그램,당산맛집,오겹살,홍대맛집베스트,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자맛집,합정고기집,냉삼초밥,서교동맛집,홍대고기집,상수동맛집,연남동맛집,오겹살맛집,JMT,홍대데이트,,,,,,,,,,,,,,,,,,,,,,,,
667,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자,합정삼겹살,상수동맛집,밥블레스유,홍대맛집베스트10,합정역맛집,오겹살맛집,오겹살,홍대맛집탐방,삼겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,
668,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정데이트,냉삼초밥,존맛탱,홍대데이트,영등포맛집,홍대맛집,삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Seonyudo Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살,홍대삼겹살,홍대데이트,맛집,홍대맛집베스트10,당산맛집,연남동맛집,삼겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,즉석떡볶이,연남동맛집,당산맛집,홍대데이트,선유도,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Seonyudo Station,6주,북카페추천,선유서가,선유도카페,카페,추천,카페스타그램,북카페,책,책방,선유도공원,맛집,선유도역맛집,선유도공원맛집,선유도역카페,좋아요,카페투어,성수동카페,연남동카페,서울카페,서울카페추천,인테리어,좋은공간,작은책방,서점,카페서점,힐링,,,,,,,,,,,,
673,Seonyudo Station,6주,선유도역,9호선맛집,선유도역맛집,선유도바다식당,바다식당,선유도5번출구바로앞,jmt,ootd,친추환영,선팔,맞팔,선팔하면맞팔,좋아요반사,회포차,회식장소,먹스타그램,먹스타,먹스타맞팔,맛집,맛집추천,맛스타그램,맛집추천,존맛탱집,존맛집,회,도다리회,도다리,,,,,,,,,,,
674,Seonyudo Station,6주,바삭하게,떡볶이돈까스,메밀소바,맛스타그램,돈까스,돈까스맛집,선유도역맛집,점심메뉴,저녁스타그램,맛집,다이어트그램,선팔맞팔환영,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집탐방,홍대맛집베스트10,서교동맛집,냉삼초밥,존맛탱,홍대맛집베스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Seonyudo Station,6주,등마루,족발연구소,맛스타그램,선유도역맛집,선유도역,먹스타그램,맞팔,쯔양맛집,선유도족발,최키포키,족발맛집,등마루족발연구소,등마루족발,,,,,,,,,,,,,,,,,,,,,,,,,
677,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대데이트,차돌박이,홍대맛집탐방,상수동맛집,홍대고기집,서교동맛집,즉석떡볶이,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집,홍대맛집,오겹살맛집,냉삼초밥,JMT,존맛탱,합정삼겹살,합정동맛집,합정데이트,,,,,,,,,,,,,,,,,,,,,,,,,
679,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,상수동맛집,홍대맛집추천,오겹살맛집,영등포맛집,홍대맛집베스트,이영자,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,오겹살맛집,합정고기집,오겹살,차돌박이,영등포맛집,맛집스타그램,삼겹살,홍대삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,
681,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,영등포맛집,홍대맛집추천,홍대삼겹살,합정동맛집,선유도,합정데이트,삼겹살맛집,이영자,,,,,,,,,,,,,,,,,,,,,,,,,
