,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
59,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
