,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
192,Airport Market Station,84주,김돈이,김돈이공항점,송정역맛집,송정역김돈이,김포공항근처맛집,송정역고기집,공항시장역맛집,제주흑돼지맛집,제주흑돼지,,,,,,,,,,,,,,,,,,,,,,,
193,Airport Market Station,86주,공항시장역,갈비,공항시장역맛집,우리도한번잘구워보세,잘구워보세,강서구맛집,김포공항역맛집,김포공항맛집,맛스타그램,먹스타그램,,,,,,,,,,,,,,,,,,,,,,
194,Airport Market Station,86주,두툼주먹구이,공항시장역4번출구,공항시장역맛집,김포공항맛집,송정역맛집,방화역맛집,이베리코흑돼지,친절한맛집,이베리코,추억의도시락,고기맛집,음식스타그램,밥나눔,f4f,l4l,korea,seoul,맛있다,오이시이,딜리셔스,강추,공항시장역맛집두툼주먹구이가봐야지,0226613022,이유경소장비전제작소,SNS전문위원,SNS전문가,,,,,,
195,Airport Market Station,91주,김포공항역맛집,송정역맛집,공항시장역맛집,공항칼국수,가성비갑,서민분위기,해장하기좋은음식,존맛,내장버섯칼국수,칼국수맛집,밥비벼먹을때,5개월차예비맘이랑,17년지기친구들,,,,,,,,,,,,,,,,,,,
196,Airport Market Station,96주,도일처,먹스타그램,맛집,food,푸드파이터,공항시장역맛집,방화동맛집,송정역맛집,여기는사랑입니다,행복이따로있나요,이런게행복이지,행복하자아프지말고,,,,,,,,,,,,,,,,,,,,
197,Airport Market Station,97주,먹스타그램,맛집,food,푸드파이터,방화동맛집,공항시장역맛집,갈비탕맛집,시원하게물냉한그릇,덥다더워,즐건주말,식구들과함께,행복이따로있나요,이런게행복이지,행복하자아프지말고,,,,,,,,,,,,,,,,,,
198,Airport Market Station,98주,공항시장역,공항시장역맛집,김치찌개,김치찌개맛집,맛스타그램,음식스타그램,맛집스타그램,맞팔환영,맞팔,맞팔해요,선팔하면맞팔,선팔환영,선팔하면맞팔,강순자옛맛김치찌개,언팔싫어요,언팔,혼밥스타그램,,,,,,,,,,,,,,,
199,Airport Market Station,99주,첫줄,육아맘,일상,도치맘,아들맘,황금개띠맘,데일리,예방접종,2차,점심스타그램,맛스타그램,먹스타그램,맛점,곱창순대국,공항시장역맛집,첫번째순대국집,존맛,준영이,랜선이모,만난날,,,,,,,,,,,,
200,Airport Market Station,99주,먹스타그램,맛집,food,김가네설렁탕,갈비탕지존,이런맛첨이야,방화동맛집,공항시장역맛집,배터짐,행복이따로있나요,이런게행복이지,행복하자아프지말고,,,,,,,,,,,,,,,,,,,,
201,Airport Market Station,99주,삼순이게장,삼순이네게장,게장맛집,게장무한리필,게장정식,방화동맛집,공항시장맛집,공항시장역맛집,강서맛집,강서구맛집,,,,,,,,,,,,,,,,,,,,,,
202,Airport Market Station,99주,산동군만두,수제만두,도일처,강서구맛집,강서구,방화동맛집,방화동,방화동소룡포,공항동맛집,공항동,김포공항,김포공항입구,김포공항맛집,송정역,송정역맛집,공항시장역,공항시장역맛집,김포롯데몰,김포롯데몰맛집,,,,,,,,,,,,,
203,Airport Market Station,103주,공항시장역맛집,공항시장역1번출구,첫번째순대국밥집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Airport Market Station,103주,맛스타그램,먹스타그램,술스타그램,맛집,맛집추천,인스타푸드,일상,술한잔,소주,맥주,술안주,술집,횟집,세꼬시,자리돔,자리돔세꼬시,공항시장역맛집,가성비맛집,instafood,food,daily,선팔하면맞팔,좋아요,설악산케이블카반대,,,,,,,,
205,Airport Market Station,105주,방화동,냉면,153냉면,함흥냉면,공항시장맛집,공항시장역맛집,방화동맛집,김포공항맛집,송정역맛집,공항동맛집,맛지키미,동네맛지키미,동네맛집,냉면냉면냉면,오예예,,,,,,,,,,,,,,,,,
206,Airport Market Station,105주,부대찌개,공항동,동방부대찌개,김포공항맛집,공항동맛집,공항시장역맛집,송정역맛집,동네맛집,맛지키미,동네맛지키미,할아버지,조오금만,친절하게,대해주세요,그래도맛은있음,밥한끼뚝딱,,,,,,,,,,,,,,,,
207,Airport Market Station,105주,방화동,첫번째집순대국,공항동,김포공항,공항시장역,송정역,맛지키미,동네맛지키미,동네맛집,공항동맛집,방화동맛집,송정역맛집,김포공항맛집,공항시장역맛집,순대국,순대국집,돈이없고,외로워도,따뜻한밥한끼,바로이곳,술조심,개조심,돈조심,뭐래는거야,그냥먹자,,,,,,,
208,Airport Market Station,108주,돼지갈비,김포,김포공항근처,공항시장역맛집,김가네설렁탕,맛있다그램,맛집스타그램,맛스타그램,먹스타그램,koreanbbq,porkribs,맥주가달다,주말에먹은거,육식,육식주의자,가족모임,즐거운시간,porkbbq,yummy,김포맛집,,,,,,,,,,,,
209,Airport Market Station,108주,공항시장역맛집,대박집,대패삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Airport Market Station,112주,차돌집,방화동맛집,공항시장역맛집,차돌박이,소주는역시후레쉬,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Airport Market Station,113주,치킨스타그램,비행기탄꼬꼬누룽지통닭구이,콘치즈꼬꼬,송정역맛집,공항시장역맛집,닭죽,제자랑,오랜만에,불토,,,,,,,,,,,,,,,,,,,,,,,
212,Airport Market Station,115주,꿀,사랑,꿀맛,홍스쭈꾸미공항점,홍스쭈꾸미,공항맛집,공항시장역맛집,송정역맛집,방화동맛집,쭈꾸미맛집,맛집,추천,퐁듀,쭈꾸미,매운쭈꾸미,추천,먹방,도전,외식,회식,koreanfood,tasty,food,foodie,spicy,yummy,koreanrestaurant,,,,,
213,Airport Market Station,115주,세젤맛,퐁듀,공항점으로오세요,홍스쭈꾸미공항점,홍스쭈꾸미,공항맛집,방화동맛집,공항시장역맛집,송정역맛집,쭈꾸미맛집,맛집,추천,외식,회식,매운음식,일상,삼시세끼,먹스타그램,꿀맛,먹방,도전,koreanfood,food,foodie,tasty,yummy,sogood,,,,,
214,Airport Market Station,115주,가즈아,홍스쭈꾸미공항점,점심가능,무조건,가능,고고싱,공항맛집,방화동맛집,공항시장역맛집,쭈꾸미맛집,매운쭈꾸미,송정역맛집,맛집,이가격,실화냐,추천,회식,외식,점심,푸짐,일상,먹방,food,foodie,koreanfood,spicy,tasty,yummy,koreanrestaurant,,,
215,Airport Market Station,115주,홍스쭈꾸미공항점,오픈,사이드메뉴,공항맛집,쭈꾸미맛집,매운쭈꾸미,공항시장역맛집,송정역맛집,바삭촉촉,맛집,맛집추천,감자전,꿀맛,일상,먹방,koreanfood,food,tastyfood,tasty,spicy,foodie,foodstagram,yummy,,,,,,,,,
216,Airport Market Station,115주,오레오마카롱,녹차마카롱,우유마카롱,초코마카롱,블루베리마카롱,망고마카롱,피스타치오마카롱,바닐라마카롱,산딸기마카롱,유자마카롱,인절미마카롱,흑임자마카롱,요거트마카롱,황치즈마카롱,떠먹는티라미수케이크,치즈케이크,머랭쿠키,마카롱맛집,방화동맛집,방화동마카롱,공항동맛집,강서구수제마카롱,김포공항마카롱,공항시장역마카롱,공항시장역맛집,방화동머랭쿠키,공항동머랭쿠키,강서구티라미수,강서구치즈케익,,,
217,Airport Market Station,115주,맛스타그램,먹스타그램,술스타그램,맛집,맛집추천,인스타푸드,일상,인스타그램,술한잔,소주,맥주,술안주,술집,고기맛집,고기집,고기스타그램,돼지고기,목살,이베리코,두툼주먹구이,가성비맛집,공항시장역맛집,instafood,food,daily,선팔하면맞팔,맞팔,좋아요,,,,
218,Airport Market Station,116주,홍스쭈꾸미공항점오픈,환상,매운맛,홍스쭈꾸미공항점,홍스쭈꾸미,공항맛집,쭈꾸미맛집,매운쭈꾸미,공항시장역맛집,송정역맛집,방화동맛집,추천,맛집,매운음식,외식,회식,모임장소,드루와드루와,koreanfood,tasty,food,foodie,spicy,hot,,,,,,,,
219,Airport Market Station,116주,황치즈,유자,피스타치오,카라멜,녹차,망고,초코,산딸기,오레오,우유,블루베리,인절미,흑임자,요거트,방화동마카롱맛집,공항동마카롱맛집,공항시장역맛집,청성아파트,방화동디저트,방화동선물,금낭화로,방화동머랭쿠키,,,,,,,,,,
220,Airport Market Station,117주,홍스쭈꾸미공항점,쭈꾸미맛집,공항맛집,송정역맛집,공항시장역맛집,추천,매운음식,계란찜,맛집,회식,외식,먹스타그램,서울맛집,koreanfood,foodie,tastyfood,tasty,spicy,spicyfood,instafood,,,,,,,,,,,,
