,station,name,review,category,link
1214,Garak Market,호치킨 경찰병원점,38,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=34787379&query=%ED%98%B8%EC%B9%98%ED%82%A8%20%EA%B2%BD%EC%B0%B0%EB%B3%91%EC%9B%90%EC%A0%90
1215,Garak Market,팥수북,38,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=36667262&query=%ED%8C%A5%EC%88%98%EB%B6%81
1216,Garak Market,쿠로스시,38,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=1292634919&query=%EC%BF%A0%EB%A1%9C%EC%8A%A4%EC%8B%9C
1217,Garak Market,엘모리아케이크&디저트카페,37,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=258308364&query=%EC%97%98%EB%AA%A8%EB%A6%AC%EC%95%84%EC%BC%80%EC%9D%B4%ED%81%AC%26%EB%94%94%EC%A0%80%ED%8A%B8%EC%B9%B4%ED%8E%98
1218,Garak Market,이화수전통육개장 서울가락점,37,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=37445654&query=%EC%9D%B4%ED%99%94%EC%88%98%EC%A0%84%ED%86%B5%EC%9C%A1%EA%B0%9C%EC%9E%A5%20%EC%84%9C%EC%9A%B8%EA%B0%80%EB%9D%BD%EC%A0%90
1219,Garak Market,목포짱뚱어,37,"해물,생선요리",https://store.naver.com/restaurants/detail?entry=ple&id=1652280507&query=%EB%AA%A9%ED%8F%AC%EC%A7%B1%EB%9A%B1%EC%96%B4
1220,Garak Market,토박이,36,한식,https://store.naver.com/restaurants/detail?entry=ple&id=34104870&query=%ED%86%A0%EB%B0%95%EC%9D%B4
1221,Garak Market,스시사루,36,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=13081667&query=%EC%8A%A4%EC%8B%9C%EC%82%AC%EB%A3%A8
1222,Garak Market,만당불쭈꾸미,36,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=35057936&query=%EB%A7%8C%EB%8B%B9%EB%B6%88%EC%AD%88%EA%BE%B8%EB%AF%B8
1223,Garak Market,육킬러,36,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1165454523&query=%EC%9C%A1%ED%82%AC%EB%9F%AC
1224,Garak Market,이차돌 가락점,36,소고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=1101335685&query=%EC%9D%B4%EC%B0%A8%EB%8F%8C%20%EA%B0%80%EB%9D%BD%EC%A0%90
1225,Garak Market,일타뽕피,36,퓨전음식,https://store.naver.com/restaurants/detail?entry=ple&id=720112404&query=%EC%9D%BC%ED%83%80%EB%BD%95%ED%94%BC
1226,Garak Market,cafe OZ,36,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=37765722&query=cafe%20OZ
1227,Garak Market,장흥낙지,35,낙지요리,https://store.naver.com/restaurants/detail?entry=ple&id=20701414&query=%EC%9E%A5%ED%9D%A5%EB%82%99%EC%A7%80
1228,Garak Market,비엔나커피하우스 가락시장점,35,카페,https://store.naver.com/restaurants/detail?entry=ple&id=1230251643&query=%EB%B9%84%EC%97%94%EB%82%98%EC%BB%A4%ED%94%BC%ED%95%98%EC%9A%B0%EC%8A%A4%20%EA%B0%80%EB%9D%BD%EC%8B%9C%EC%9E%A5%EC%A0%90
1229,Garak Market,금성횟집,35,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=1698089937&query=%EA%B8%88%EC%84%B1%ED%9A%9F%EC%A7%91
1230,Garak Market,윤식이돈까스,35,돈가스,https://store.naver.com/restaurants/detail?entry=ple&id=38522252&query=%EC%9C%A4%EC%8B%9D%EC%9D%B4%EB%8F%88%EA%B9%8C%EC%8A%A4
1231,Garak Market,맛찬들왕소금구이 가락점,34,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1622208096&query=%EB%A7%9B%EC%B0%AC%EB%93%A4%EC%99%95%EC%86%8C%EA%B8%88%EA%B5%AC%EC%9D%B4%20%EA%B0%80%EB%9D%BD%EC%A0%90
1232,Garak Market,새벽대게,34,대게요리,https://store.naver.com/restaurants/detail?entry=ple&id=1244046633&query=%EC%83%88%EB%B2%BD%EB%8C%80%EA%B2%8C
1233,Garak Market,어참치,33,생선회,https://store.naver.com/restaurants/detail?entry=ple&id=1310920095&query=%EC%96%B4%EC%B0%B8%EC%B9%98
