,station,name,category,review,link
56,Suraksan Station,스시은,"초밥,롤",47,https://store.naver.com/restaurants/detail?entry=ple&id=100582776&query=%EC%8A%A4%EC%8B%9C%EC%9D%80
57,Suraksan Station,BHC치킨 마들점,"치킨,닭강정",46,https://store.naver.com/restaurants/detail?entry=ple&id=37725408&query=BHC%EC%B9%98%ED%82%A8%20%EB%A7%88%EB%93%A4%EC%A0%90
58,Suraksan Station,BAEBAE COFFEE,카페,44,https://store.naver.com/restaurants/detail?entry=ple&id=1074667245&query=BAEBAE%20COFFEE
59,Suraksan Station,터줏대감,"백숙,삼계탕",44,https://store.naver.com/restaurants/detail?entry=ple&id=13165253&query=%ED%84%B0%EC%A4%8F%EB%8C%80%EA%B0%90
60,Suraksan Station,백송춘천닭갈비,닭갈비,43,https://store.naver.com/restaurants/detail?entry=ple&id=189217686&query=%EB%B0%B1%EC%86%A1%EC%B6%98%EC%B2%9C%EB%8B%AD%EA%B0%88%EB%B9%84
61,Suraksan Station,카페하루,"카페,디저트",43,https://store.naver.com/restaurants/detail?entry=ple&id=1012998429&query=%EC%B9%B4%ED%8E%98%ED%95%98%EB%A3%A8
62,Suraksan Station,여자만아구찜해물찜,"아귀찜,해물찜",43,https://store.naver.com/restaurants/detail?entry=ple&id=37402876&query=%EC%97%AC%EC%9E%90%EB%A7%8C%EC%95%84%EA%B5%AC%EC%B0%9C%ED%95%B4%EB%AC%BC%EC%B0%9C
63,Suraksan Station,삼시세끼 고기밥상,고기뷔페,41,https://store.naver.com/restaurants/detail?entry=ple&id=1745802306&query=%EC%82%BC%EC%8B%9C%EC%84%B8%EB%81%BC%20%EA%B3%A0%EA%B8%B0%EB%B0%A5%EC%83%81
64,Suraksan Station,돼지네고깃간,"육류,고기요리",40,https://store.naver.com/restaurants/detail?entry=ple&id=374411882&query=%EB%8F%BC%EC%A7%80%EB%84%A4%EA%B3%A0%EA%B9%83%EA%B0%84
65,Suraksan Station,미스터숯불꼬치 수락산점,"오뎅,꼬치",40,https://store.naver.com/restaurants/detail?entry=ple&id=1817536411&query=%EB%AF%B8%EC%8A%A4%ED%84%B0%EC%88%AF%EB%B6%88%EA%BC%AC%EC%B9%98%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
66,Suraksan Station,케어프리,"카페,디저트",40,https://store.naver.com/restaurants/detail?entry=ple&id=1984564702&query=%EC%BC%80%EC%96%B4%ED%94%84%EB%A6%AC
67,Suraksan Station,평양칼국수,"칼국수,만두",39,https://store.naver.com/restaurants/detail?entry=ple&id=1656109355&query=%ED%8F%89%EC%96%91%EC%B9%BC%EA%B5%AD%EC%88%98
68,Suraksan Station,내일또만나,베이커리,38,https://store.naver.com/restaurants/detail?entry=ple&id=1567157248&query=%EB%82%B4%EC%9D%BC%EB%98%90%EB%A7%8C%EB%82%98
69,Suraksan Station,최가네손두부,두부요리,38,https://store.naver.com/restaurants/detail?entry=ple&id=13151636&query=%EC%B5%9C%EA%B0%80%EB%84%A4%EC%86%90%EB%91%90%EB%B6%80
70,Suraksan Station,참치가,생선회,38,https://store.naver.com/restaurants/detail?entry=ple&id=35249157&query=%EC%B0%B8%EC%B9%98%EA%B0%80
71,Suraksan Station,수락골두부이야기,한식,36,https://store.naver.com/restaurants/detail?entry=ple&id=18032955&query=%EC%88%98%EB%9D%BD%EA%B3%A8%EB%91%90%EB%B6%80%EC%9D%B4%EC%95%BC%EA%B8%B0
72,Suraksan Station,피자헛 수락산역점,피자,34,https://store.naver.com/restaurants/detail?entry=ple&id=13290431&query=%ED%94%BC%EC%9E%90%ED%97%9B%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
73,Suraksan Station,가장맛있는족발 수락산점,"족발,보쌈",31,https://store.naver.com/restaurants/detail?entry=ple&id=37345600&query=%EA%B0%80%EC%9E%A5%EB%A7%9B%EC%9E%88%EB%8A%94%EC%A1%B1%EB%B0%9C%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
74,Suraksan Station,구름공방 수락산점,"맥주,호프",31,https://store.naver.com/restaurants/detail?entry=ple&id=37161922&query=%EA%B5%AC%EB%A6%84%EA%B3%B5%EB%B0%A9%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
75,Suraksan Station,불난조대박쭈꾸미 노원점,주꾸미요리,30,https://store.naver.com/restaurants/detail?entry=ple&id=1719172030&query=%EB%B6%88%EB%82%9C%EC%A1%B0%EB%8C%80%EB%B0%95%EC%AD%88%EA%BE%B8%EB%AF%B8%20%EB%85%B8%EC%9B%90%EC%A0%90
76,Suraksan Station,지호한방삼계탕 수락산역점,"백숙,삼계탕",30,https://store.naver.com/restaurants/detail?entry=ple&id=1427666264&query=%EC%A7%80%ED%98%B8%ED%95%9C%EB%B0%A9%EC%82%BC%EA%B3%84%ED%83%95%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
77,Suraksan Station,커피정원,카페,29,https://store.naver.com/restaurants/detail?entry=ple&id=19885714&query=%EC%BB%A4%ED%94%BC%EC%A0%95%EC%9B%90
78,Suraksan Station,카페 플로렌스,카페,29,https://store.naver.com/restaurants/detail?entry=ple&id=33279739&query=%EC%B9%B4%ED%8E%98%20%ED%94%8C%EB%A1%9C%EB%A0%8C%EC%8A%A4
79,Suraksan Station,카페7179,"카페,디저트",29,https://store.naver.com/restaurants/detail?entry=ple&id=1130263463&query=%EC%B9%B4%ED%8E%987179
80,Suraksan Station,공주집,한식,26,https://store.naver.com/restaurants/detail?entry=ple&id=18065765&query=%EA%B3%B5%EC%A3%BC%EC%A7%91
81,Suraksan Station,미가솥뚜껑삼겹살,돼지고기구이,26,https://store.naver.com/restaurants/detail?entry=ple&id=36276972&query=%EB%AF%B8%EA%B0%80%EC%86%A5%EB%9A%9C%EA%BB%91%EC%82%BC%EA%B2%B9%EC%82%B4
82,Suraksan Station,갈비데이,돼지고기구이,26,https://store.naver.com/restaurants/detail?entry=ple&id=516596817&query=%EA%B0%88%EB%B9%84%EB%8D%B0%EC%9D%B4
83,Suraksan Station,대구달구벌막창,"곱창,막창,양",26,https://store.naver.com/restaurants/detail?entry=ple&id=715347804&query=%EB%8C%80%EA%B5%AC%EB%8B%AC%EA%B5%AC%EB%B2%8C%EB%A7%89%EC%B0%BD
84,Suraksan Station,맥도날드 상계DT점,햄버거,25,https://store.naver.com/restaurants/detail?entry=ple&id=1502967247&query=%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%20%EC%83%81%EA%B3%84DT%EC%A0%90
85,Suraksan Station,배스킨라빈스 수락산역,아이스크림,25,https://store.naver.com/restaurants/detail?entry=ple&id=11489308&query=%EB%B0%B0%EC%8A%A4%ED%82%A8%EB%9D%BC%EB%B9%88%EC%8A%A4%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD
86,Suraksan Station,팔팔껍데기 수락산점,"육류,고기요리",24,https://store.naver.com/restaurants/detail?entry=ple&id=1775148933&query=%ED%8C%94%ED%8C%94%EA%BB%8D%EB%8D%B0%EA%B8%B0%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
87,Suraksan Station,제뉴어리 퍼스트,브런치,24,https://store.naver.com/restaurants/detail?entry=ple&id=1592523155&query=%EC%A0%9C%EB%89%B4%EC%96%B4%EB%A6%AC%20%ED%8D%BC%EC%8A%A4%ED%8A%B8
88,Suraksan Station,마포껍데기,돼지고기구이,24,https://store.naver.com/restaurants/detail?entry=ple&id=13151576&query=%EB%A7%88%ED%8F%AC%EA%BB%8D%EB%8D%B0%EA%B8%B0
89,Suraksan Station,수락해신탕,한식,24,https://store.naver.com/restaurants/detail?entry=ple&id=38522286&query=%EC%88%98%EB%9D%BD%ED%95%B4%EC%8B%A0%ED%83%95
90,Suraksan Station,봉평메밀막국수,막국수,23,https://store.naver.com/restaurants/detail?entry=ple&id=1043949246&query=%EB%B4%89%ED%8F%89%EB%A9%94%EB%B0%80%EB%A7%89%EA%B5%AD%EC%88%98
