,station,name,review,category,link
2475,Anguk Station,북촌손만두 북촌점,213,"칼국수,만두",https://store.naver.com/restaurants/detail?entry=ple&id=20721159&query=%EB%B6%81%EC%B4%8C%EC%86%90%EB%A7%8C%EB%91%90%20%EB%B6%81%EC%B4%8C%EC%A0%90
2476,Anguk Station,플로라,212,양식,https://store.naver.com/restaurants/detail?entry=ple&id=1900316197&query=%ED%94%8C%EB%A1%9C%EB%9D%BC
2477,Anguk Station,미술관옆 돈까스,206,돈가스,https://store.naver.com/restaurants/detail?entry=ple&id=19410174&query=%EB%AF%B8%EC%88%A0%EA%B4%80%EC%98%86%20%EB%8F%88%EA%B9%8C%EC%8A%A4
2478,Anguk Station,마산해물아구찜,202,"아귀찜,해물찜",https://store.naver.com/restaurants/detail?entry=ple&id=19334556&query=%EB%A7%88%EC%82%B0%ED%95%B4%EB%AC%BC%EC%95%84%EA%B5%AC%EC%B0%9C
2479,Anguk Station,크래프트루,201,"맥주,호프",https://store.naver.com/restaurants/detail?entry=ple&id=37793776&query=%ED%81%AC%EB%9E%98%ED%94%84%ED%8A%B8%EB%A3%A8
2480,Anguk Station,통나무식당 낙원본점,199,"아귀찜,해물찜",https://store.naver.com/restaurants/detail?entry=ple&id=11679479&query=%ED%86%B5%EB%82%98%EB%AC%B4%EC%8B%9D%EB%8B%B9%20%EB%82%99%EC%9B%90%EB%B3%B8%EC%A0%90
2481,Anguk Station,자작나무이야기,198,카페,https://store.naver.com/restaurants/detail?entry=ple&id=33938068&query=%EC%9E%90%EC%9E%91%EB%82%98%EB%AC%B4%EC%9D%B4%EC%95%BC%EA%B8%B0
2482,Anguk Station,카페온화 익선점,197,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1360232609&query=%EC%B9%B4%ED%8E%98%EC%98%A8%ED%99%94%20%EC%9D%B5%EC%84%A0%EC%A0%90
2483,Anguk Station,롤링핀북촌점,195,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=37363307&query=%EB%A1%A4%EB%A7%81%ED%95%80%EB%B6%81%EC%B4%8C%EC%A0%90
2484,Anguk Station,큰기와집,195,한정식,https://store.naver.com/restaurants/detail?entry=ple&id=11569662&query=%ED%81%B0%EA%B8%B0%EC%99%80%EC%A7%91
2485,Anguk Station,로코랩,192,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1473374967&query=%EB%A1%9C%EC%BD%94%EB%9E%A9
2486,Anguk Station,RadioM,190,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=34352187&query=RadioM
2487,Anguk Station,제이네,189,양식,https://store.naver.com/restaurants/detail?entry=ple&id=784977997&query=%EC%A0%9C%EC%9D%B4%EB%84%A4
