,station,name,category,review
217,Express Bus Terminal Station,드라마[태양의후예]촬영지,촬영장소,0
218,Sapyeong Station,전통주갤러리,전시관,639
219,Sapyeong Station,아이랩스페이스,전시관,306
220,Sapyeong Station,강남역푸드트럭존,먹자거리,119
221,Sapyeong Station,SPACE22,전시관,69
222,Sapyeong Station,토토가요,"공연,문화의거리",49
223,Sapyeong Station,서리풀공원,"자연,생태공원",22
224,Sapyeong Station,역삼공원,"도시,테마공원",18
225,Sapyeong Station,강남역거리,문화거리,12
226,Sapyeong Station,삼성타운,지역명소,11
227,Sapyeong Station,명달공원,근린공원,11
228,Sapyeong Station,서래공원,근린공원,8
229,Sapyeong Station,역삼까치공원,근린공원,7
230,Sapyeong Station,기록매체박물관,박물관,7
231,Sapyeong Station,대한민국지역홍보센터,관광안내소,6
232,Sapyeong Station,U-STREET,"공연,문화의거리",5
233,Sapyeong Station,부띠크모나코뮤지엄,미술관,5
234,Sapyeong Station,은행나무공원,근린공원,4
235,Sapyeong Station,서초관광정보센터,관광안내소,4
236,Sapyeong Station,국기원기념관,"기념관,생가",4
237,Sapyeong Station,문화예술선교엔게디,전시관,3
238,Sinnonhyeon Station,U-STREET,"공연,문화의거리",5
239,Sinnonhyeon Station,BGN갤러리,전시관,3
240,Sinnonhyeon Station,날마다축제협동조합,"축제,행사",0
241,Sinnonhyeon Station,다가치에듀케이션,체험여행,0
242,Sinnonhyeon Station,KCC종합전시관,전시관,0
243,Sinnonhyeon Station,럭셔리멀티스파,"온천,스파",0
244,Eonju Station,전통주갤러리,전시관,639
245,Eonju Station,논현동가구거리,"거리,골목",88
246,Eonju Station,역삼공원,"도시,테마공원",18
247,Eonju Station,논현목련공원,근린공원,5
248,Eonju Station,은행나무공원,근린공원,4
249,Eonju Station,국기원기념관,"기념관,생가",4
250,Eonju Station,충현1공원,근린공원,2
251,Eonju Station,무궁화공원,근린공원,2
252,Eonju Station,꿈과함께하는체험학교,체험여행,1
253,Eonju Station,논현동보드상점거리,"거리,골목",1
254,Eonju Station,갤러리 아트셀시,전시관,1
255,Eonju Station,개나리공원,근린공원,1
256,Eonju Station,날마다축제협동조합,"축제,행사",0
257,Eonju Station,태권도체험,체험여행,0
258,Eonju Station,골드피그,"관리,안내",0
259,Eonju Station,충현2공원,근린공원,0
260,Eonju Station,드라마[상류사회]촬영지,촬영장소,0
261,Eonju Station,다가치에듀케이션,체험여행,0
262,Eonju Station,매쓰코리아,체험여행,0
263,Eonju Station,롯데부여리조트홍보전시관,전시관,0
264,Seonjeongneung Station,서울선릉과정릉,세계문화유산,936
265,Seonjeongneung Station,선릉성종왕릉,세계문화유산,206
266,Seonjeongneung Station,정릉중종왕릉,세계문화유산,42
267,Seonjeongneung Station,서울선릉과정릉매표소,"관리,안내",19
268,Seonjeongneung Station,선릉성종왕비정현왕후릉,"릉,묘,총",7
269,Seonjeongneung Station,논현소나무공원,근린공원,4
270,Seonjeongneung Station,충현1공원,근린공원,2
271,Seonjeongneung Station,선정릉재실,"문화,유적",1
272,Seonjeongneung Station,반달근린공원,근린공원,1
273,Seonjeongneung Station,삼성은행나무공원,근린공원,0
274,Seonjeongneung Station,협동조합 강남스토리,체험여행,0
275,Seonjeongneung Station,스포링크,"극기,체력캠프",0
276,Seonjeongneung Station,충현2공원,근린공원,0
277,Seonjeongneung Station,봉은공원,근린공원,0
278,Seonjeongneung Station,학봉공원,근린공원,0
279,Seonjeongneung Station,시큐리티코리아,전시관,0
280,Seonjeongneung Station,드라마[상류사회]촬영지,촬영장소,0
281,Seonjeongneung Station,샘터근린공원,근린공원,0
282,Seonjeongneung Station,스페이스디,전시관,0
283,Seonjeongneung Station,롯데부여리조트홍보전시관,전시관,0
284,Samseong Central Station,코엑스 Hall C,전시관,999+
285,Samseong Central Station,코엑스아쿠아리움,아쿠아리움,999+
286,Samseong Central Station,코엑스 Hall D,전시관,999+
287,Samseong Central Station,서울선릉과정릉,세계문화유산,936
288,Samseong Central Station,마이아트뮤지엄,미술관,588
289,Samseong Central Station,코엑스그랜드볼룸,전시관,195
290,Samseong Central Station,서울국제유아교육전,전시관,68
291,Samseong Central Station,서울국제스포츠레저산업전,전시관,60
292,Samseong Central Station,마이아트뮤지엄,전시관,48
293,Samseong Central Station,코엑스 컨퍼런스룸 E,전시관,47
294,Samseong Central Station,정릉중종왕릉,세계문화유산,42
295,Samseong Central Station,서울오토살롱,전시관,37
296,Samseong Central Station,씨 페스티벌,"축제,행사",34
297,Samseong Central Station,서울선릉과정릉매표소,"관리,안내",19
298,Samseong Central Station,현대아트홀,전시관,18
299,Samseong Central Station,세계골프역사박물관,박물관,15
300,Samseong Central Station,무역센터겨울축제,"축제,행사",13
301,Samseong Central Station,서울머니쇼,전시관,8
