,name,review,category,link
108,아비꼬 천호점,96,카레,https://store.naver.com/restaurants/detail?entry=ple&id=36831668&query=%EC%95%84%EB%B9%84%EA%BC%AC%20%EC%B2%9C%ED%98%B8%EC%A0%90
109,신가네해물닭갈비,96,닭갈비,https://store.naver.com/restaurants/detail?entry=ple&id=13445132&query=%EC%8B%A0%EA%B0%80%EB%84%A4%ED%95%B4%EB%AC%BC%EB%8B%AD%EA%B0%88%EB%B9%84
110,멘야,93,일본식라면,https://store.naver.com/restaurants/detail?entry=ple&id=1494761499&query=%EB%A9%98%EC%95%BC
111,박대박조개찜 천호점,91,조개요리,https://store.naver.com/restaurants/detail?entry=ple&id=36476450&query=%EB%B0%95%EB%8C%80%EB%B0%95%EC%A1%B0%EA%B0%9C%EC%B0%9C%20%EC%B2%9C%ED%98%B8%EC%A0%90
112,통파이브 천호롯데씨네마점,89,"맥주,호프",https://store.naver.com/restaurants/detail?entry=ple&id=31863892&query=%ED%86%B5%ED%8C%8C%EC%9D%B4%EB%B8%8C%20%EC%B2%9C%ED%98%B8%EB%A1%AF%EB%8D%B0%EC%94%A8%EB%84%A4%EB%A7%88%EC%A0%90
113,스시진,89,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=37676448&query=%EC%8A%A4%EC%8B%9C%EC%A7%84
114,The짬뽕,88,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=1238836860&query=The%EC%A7%AC%EB%BD%95
115,소문난 쭈꾸미,86,"해물,생선요리",https://store.naver.com/restaurants/detail?entry=ple&id=20832267&query=%EC%86%8C%EB%AC%B8%EB%82%9C%20%EC%AD%88%EA%BE%B8%EB%AF%B8
116,큰집보쌈 천호점,85,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=67056398&query=%ED%81%B0%EC%A7%91%EB%B3%B4%EC%8C%88%20%EC%B2%9C%ED%98%B8%EC%A0%90
117,로꼬타코 천호역점,85,"멕시코,남미음식",https://store.naver.com/restaurants/detail?entry=ple&id=1050212842&query=%EB%A1%9C%EA%BC%AC%ED%83%80%EC%BD%94%20%EC%B2%9C%ED%98%B8%EC%97%AD%EC%A0%90
118,장원보쌈족발,84,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=18921748&query=%EC%9E%A5%EC%9B%90%EB%B3%B4%EC%8C%88%EC%A1%B1%EB%B0%9C
